Time(s),CH1V,CH2V
-2.000000e-06,8.000000e-04,1.246667e-01
-1.980000e-06,-2.666667e-04,1.193333e-01
-1.960000e-06,-1.040000e-02,6.933333e-02
-1.940000e-06,8.000000e-04,1.473333e-01
-1.920000e-06,-1.466667e-03,1.026667e-01
-1.900000e-06,-1.466667e-03,1.026667e-01
-1.880000e-06,-8.133333e-03,2.466667e-02
-1.860000e-06,2.000000e-03,5.799999e-02
-1.840000e-06,-1.040000e-02,1.360000e-01
-1.820000e-06,-3.733333e-03,1.473333e-01
-1.800000e-06,-1.266667e-02,1.473333e-01
-1.780000e-06,8.800000e-03,1.026667e-01
-1.760000e-06,-1.466667e-03,1.140000e-01
-1.740000e-06,3.066667e-03,9.133332e-02
-1.720000e-06,-2.173333e-02,7.999999e-02
-1.700000e-06,-3.733333e-03,1.140000e-01
-1.680000e-06,-1.040000e-02,1.140000e-01
-1.660000e-06,-5.866667e-03,1.473333e-01
-1.640000e-06,-1.040000e-02,1.246667e-01
-1.620000e-06,3.066667e-03,1.413333e-01
-1.600000e-06,8.000000e-04,1.246667e-01
-1.580000e-06,-5.866667e-03,4.133333e-02
-1.560000e-06,-1.040000e-02,7.999999e-02
-1.540000e-06,-1.613333e-02,7.466666e-02
-1.520000e-06,-1.720000e-02,6.933333e-02
-1.500000e-06,3.066667e-03,1.193333e-01
-1.480000e-06,-5.866667e-03,1.246667e-01
-1.460000e-06,-3.733333e-03,1.806667e-01
-1.440000e-06,-1.466667e-03,1.026667e-01
-1.420000e-06,6.533334e-03,1.413333e-01
-1.400000e-06,-1.266667e-02,6.933333e-02
-1.380000e-06,-8.133333e-03,7.999999e-02
-1.360000e-06,-1.266667e-02,9.133332e-02
-1.340000e-06,-4.800000e-03,1.080000e-01
-1.320000e-06,8.000000e-04,1.360000e-01
-1.300000e-06,-1.466667e-03,1.580000e-01
-1.280000e-06,5.333333e-03,1.140000e-01
-1.260000e-06,-2.533333e-03,1.026667e-01
-1.240000e-06,8.000000e-04,1.360000e-01
-1.220000e-06,-7.066667e-03,1.026667e-01
-1.200000e-06,-1.266667e-02,1.246667e-01
-1.180000e-06,-8.133333e-03,1.580000e-01
-1.160000e-06,-5.866667e-03,1.140000e-01
-1.140000e-06,8.000000e-04,1.526667e-01
-1.120000e-06,5.333333e-03,9.133332e-02
-1.100000e-06,2.000000e-03,5.199999e-02
-1.080000e-06,-8.133333e-03,5.799999e-02
-1.060000e-06,-9.333333e-03,7.999999e-02
-1.040000e-06,-1.040000e-02,3.533333e-02
-1.020000e-06,-4.800000e-03,1.473333e-01
-1.000000e-06,-1.466667e-03,9.133332e-02
-9.800000e-07,8.000000e-04,9.666666e-02
-9.600000e-07,8.000000e-04,1.026667e-01
-9.400000e-07,-3.733333e-03,3.533333e-02
-9.200000e-07,-3.733333e-03,4.666666e-02
-9.000000e-07,-3.733333e-03,1.026667e-01
-8.800000e-07,-1.266667e-02,1.140000e-01
-8.600000e-07,-4.800000e-03,1.306667e-01
-8.400000e-07,8.000000e-04,1.693333e-01
-8.200000e-07,-2.533333e-03,6.333333e-02
-8.000000e-07,-1.466667e-03,1.473333e-01
-7.800000e-07,-1.466667e-03,7.999999e-02
-7.600000e-07,-8.133333e-03,1.360000e-01
-7.400000e-07,-7.066667e-03,1.080000e-01
-7.200000e-07,-3.733333e-03,1.246667e-01
-7.000000e-07,-8.133333e-03,1.193333e-01
-6.800000e-07,5.333333e-03,1.360000e-01
-6.600000e-07,8.000000e-04,1.806667e-01
-6.400000e-07,1.666667e-02,2.253333e-01
-6.200000e-07,-8.133333e-03,8.599999e-02
-6.000000e-07,-1.946667e-02,5.799999e-02
-5.800000e-07,-2.533333e-03,6.933333e-02
-5.600000e-07,-2.400000e-02,5.799999e-02
-5.400000e-07,-2.666667e-04,1.360000e-01
-5.200000e-07,-3.733333e-03,1.246667e-01
-5.000000e-07,8.800000e-03,4.666666e-02
-4.800000e-07,-5.866667e-03,6.933333e-02
-4.600000e-07,7.600000e-03,1.026667e-01
-4.400000e-07,-1.266667e-02,9.133332e-02
-4.200000e-07,-1.040000e-02,8.599999e-02
-4.000000e-07,-2.400000e-02,9.133332e-02
-3.800000e-07,-9.333333e-03,1.026667e-01
-3.600000e-07,-5.866667e-03,9.133332e-02
-3.400000e-07,-2.666667e-04,1.080000e-01
-3.200000e-07,1.213333e-02,1.806667e-01
-3.000000e-07,3.066667e-03,7.466666e-02
-2.800000e-07,-8.133333e-03,1.140000e-01
-2.600000e-07,-3.733333e-03,1.026667e-01
-2.400000e-07,-3.733333e-03,6.933333e-02
-2.200000e-07,-3.733333e-03,1.026667e-01
-2.000000e-07,-5.866667e-03,9.133332e-02
-1.800000e-07,2.000000e-03,1.193333e-01
-1.600000e-07,1.213333e-02,4.666666e-02
-1.400000e-07,8.000000e-04,8.599999e-02
-1.200000e-07,-3.733333e-03,9.133332e-02
-1.000000e-07,-1.266667e-02,1.413333e-01
-8.000000e-08,-8.133333e-03,1.026667e-01
-6.000000e-08,8.000000e-04,7.999999e-02
-4.000000e-08,9.866667e-03,1.693333e-01
-2.000000e-08,7.600000e-03,6.933333e-02
9.727644e-22,2.812000e-01,1.151333e+00
2.000000e-08,1.256533e+00,3.605333e+00
4.000000e-08,1.311867e+00,3.851333e+00
6.000000e-08,2.266933e+00,4.414666e+00
8.000000e-08,3.050133e+00,4.810666e+00
1.000000e-07,3.009467e+00,4.860666e+00
1.200000e-07,2.186667e+00,4.743333e+00
1.400000e-07,1.647600e+00,4.587333e+00
1.600000e-07,1.504000e+00,4.609333e+00
1.800000e-07,1.346933e+00,4.587333e+00
2.000000e-07,1.081333e+00,4.509333e+00
2.200000e-07,8.258667e-01,4.637333e+00
2.400000e-07,5.592000e-01,4.643333e+00
2.600000e-07,3.388000e-01,4.693333e+00
2.800000e-07,1.365333e-01,4.710000e+00
3.000000e-07,-1.840000e-02,4.653999e+00
3.200000e-07,-7.826667e-02,4.788000e+00
3.400000e-07,-4.320000e-02,4.732666e+00
3.600000e-07,-1.493333e-02,4.710000e+00
3.800000e-07,-1.466667e-03,4.782666e+00
4.000000e-07,-4.440000e-02,4.866000e+00
4.200000e-07,-3.640000e-02,4.905333e+00
4.400000e-07,-4.440000e-02,4.855333e+00
4.600000e-07,-1.613333e-02,4.910666e+00
4.800000e-07,-3.080000e-02,4.900000e+00
5.000000e-07,-2.066667e-02,4.927333e+00
5.200000e-07,-2.853333e-02,4.877333e+00
5.400000e-07,-3.186667e-02,4.933333e+00
5.600000e-07,-3.306667e-02,4.944666e+00
5.800000e-07,-3.186667e-02,4.877333e+00
6.000000e-07,-2.400000e-02,5.089333e+00
6.200000e-07,-1.493333e-02,4.961333e+00
6.400000e-07,-2.626667e-02,4.978000e+00
6.600000e-07,-1.160000e-02,4.961333e+00
6.800000e-07,-2.173333e-02,4.955333e+00
7.000000e-07,-2.520000e-02,4.938666e+00
7.200000e-07,-2.400000e-02,4.988666e+00
7.400000e-07,-3.186667e-02,5.039333e+00
7.600000e-07,-1.946667e-02,5.078000e+00
7.800000e-07,-9.333333e-03,5.044666e+00
8.000000e-07,-2.626667e-02,5.044666e+00
8.200000e-07,-1.160000e-02,5.078000e+00
8.400000e-07,-1.493333e-02,5.022666e+00
8.600000e-07,-2.960000e-02,4.966666e+00
8.800000e-07,-1.720000e-02,5.022666e+00
9.000000e-07,-1.160000e-02,5.072666e+00
9.200000e-07,-1.266667e-02,5.112000e+00
9.400000e-07,-9.333333e-03,5.084000e+00
