Time(s),CH1V,CH2V
-1.000000e-06,4.817333e+00,-1.440000e+00
-9.900000e-07,4.882400e+00,-1.521600e+00
-9.800000e-07,4.867200e+00,-1.609067e+00
-9.700000e-07,4.888800e+00,-1.674000e+00
-9.600000e-07,4.890934e+00,-1.759733e+00
-9.500000e-07,4.917067e+00,-1.840267e+00
-9.400000e-07,4.932267e+00,-1.911467e+00
-9.300000e-07,4.931200e+00,-1.991467e+00
-9.200000e-07,4.977600e+00,-2.063333e+00
-9.100000e-07,4.949600e+00,-2.132267e+00
-9.000000e-07,4.982133e+00,-2.193200e+00
-8.900000e-07,4.988533e+00,-2.269200e+00
-8.800000e-07,5.060000e+00,-2.300267e+00
-8.700000e-07,5.024267e+00,-2.365733e+00
-8.600000e-07,5.025333e+00,-2.427867e+00
-8.500000e-07,5.043734e+00,-2.476133e+00
-8.400000e-07,5.047200e+00,-2.539467e+00
-8.300000e-07,5.073067e+00,-2.583067e+00
-8.200000e-07,5.032000e+00,-2.632533e+00
-8.100000e-07,5.068800e+00,-2.675733e+00
-8.000000e-07,5.025333e+00,-2.711867e+00
-7.900000e-07,5.026400e+00,-2.738933e+00
-7.800000e-07,5.023200e+00,-2.770533e+00
-7.700000e-07,5.016800e+00,-2.810800e+00
-7.600000e-07,5.029867e+00,-2.813067e+00
-7.500000e-07,4.990667e+00,-2.845867e+00
-7.400000e-07,5.016800e+00,-2.846400e+00
-7.300000e-07,4.981067e+00,-2.870000e+00
-7.200000e-07,5.021067e+00,-2.866000e+00
-7.100000e-07,4.989600e+00,-2.877467e+00
-7.000000e-07,4.999467e+00,-2.882133e+00
-6.900000e-07,5.005867e+00,-2.856800e+00
-6.800000e-07,4.973333e+00,-2.849867e+00
-6.700000e-07,4.998400e+00,-2.835600e+00
-6.600000e-07,4.990667e+00,-2.823467e+00
-6.500000e-07,5.026400e+00,-2.803867e+00
-6.400000e-07,5.016800e+00,-2.771733e+00
-6.300000e-07,5.038400e+00,-2.759600e+00
-6.200000e-07,5.036267e+00,-2.713067e+00
-6.100000e-07,5.048267e+00,-2.682000e+00
-6.000000e-07,5.090400e+00,-2.640667e+00
-5.900000e-07,5.057867e+00,-2.601467e+00
-5.800000e-07,5.088267e+00,-2.558933e+00
-5.700000e-07,5.093867e+00,-2.527333e+00
-5.600000e-07,5.112267e+00,-2.470400e+00
-5.500000e-07,5.122933e+00,-2.421600e+00
-5.400000e-07,5.138134e+00,-2.378400e+00
-5.300000e-07,5.139200e+00,-2.320400e+00
-5.200000e-07,5.133867e+00,-2.281867e+00
-5.100000e-07,5.144800e+00,-2.206533e+00
-5.000000e-07,5.131733e+00,-2.154133e+00
-4.900000e-07,5.158933e+00,-2.093733e+00
-4.800000e-07,5.129600e+00,-2.044933e+00
-4.700000e-07,5.136000e+00,-1.990267e+00
-4.600000e-07,5.122933e+00,-1.933333e+00
-4.500000e-07,5.113333e+00,-1.869600e+00
-4.400000e-07,5.116533e+00,-1.791867e+00
-4.300000e-07,5.073067e+00,-1.749333e+00
-4.200000e-07,5.084000e+00,-1.681467e+00
-4.100000e-07,4.923467e+00,-1.602800e+00
-4.000000e-07,5.012533e+00,-1.555067e+00
-3.900000e-07,5.166400e+00,-1.473333e+00
-3.800000e-07,5.068800e+00,-1.427333e+00
-3.700000e-07,4.849867e+00,-1.339333e+00
-3.600000e-07,4.951734e+00,-1.279067e+00
-3.500000e-07,5.189067e+00,-1.205467e+00
-3.400000e-07,4.960267e+00,-1.146800e+00
-3.300000e-07,4.917067e+00,-1.068000e+00
-3.200000e-07,5.107733e+00,-1.016800e+00
-3.100000e-07,5.030933e+00,-9.312000e-01
-3.000000e-07,4.882400e+00,-8.673334e-01
-2.900000e-07,5.064533e+00,-8.006667e-01
-2.800000e-07,5.116533e+00,-7.338667e-01
-2.700000e-07,4.971200e+00,-6.684000e-01
-2.600000e-07,5.055733e+00,-6.050667e-01
-2.500000e-07,5.125067e+00,-5.528000e-01
-2.400000e-07,5.016800e+00,-4.854667e-01
-2.300000e-07,5.038400e+00,-4.153333e-01
-2.200000e-07,5.181600e+00,-3.624000e-01
-2.100000e-07,5.104533e+00,-3.101333e-01
-2.000000e-07,5.008000e+00,-2.646667e-01
-1.900000e-07,5.072000e+00,-2.060000e-01
-1.800000e-07,5.086133e+00,-1.612000e-01
-1.700000e-07,5.087200e+00,-1.140000e-01
-1.600000e-07,5.051467e+00,-8.066667e-02
-1.500000e-07,5.055733e+00,-3.413333e-02
-1.400000e-07,5.023200e+00,4.400000e-03
-1.300000e-07,4.975467e+00,4.466667e-02
-1.200000e-07,5.021067e+00,9.173334e-02
