Time(s),CH1V,CH2V
-1.000000e-06,4.917067e+00,-1.626267e+00
-9.900000e-07,4.917067e+00,-1.691333e+00
-9.800000e-07,4.951734e+00,-1.725200e+00
-9.700000e-07,4.956000e+00,-1.777600e+00
-9.600000e-07,4.990667e+00,-1.817200e+00
-9.500000e-07,4.999467e+00,-1.869600e+00
-9.400000e-07,5.023200e+00,-1.914933e+00
-9.300000e-07,5.033067e+00,-1.944800e+00
-9.200000e-07,5.012533e+00,-1.992000e+00
-9.100000e-07,5.063467e+00,-2.032267e+00
-9.000000e-07,5.040534e+00,-2.072533e+00
-8.900000e-07,5.079733e+00,-2.087467e+00
-8.800000e-07,5.029867e+00,-2.123067e+00
-8.700000e-07,5.081867e+00,-2.127733e+00
-8.600000e-07,5.068800e+00,-2.162267e+00
-8.500000e-07,5.074133e+00,-2.191600e+00
-8.400000e-07,5.073067e+00,-2.180667e+00
-8.300000e-07,5.049334e+00,-2.228933e+00
-8.200000e-07,5.070933e+00,-2.223200e+00
-8.100000e-07,5.066667e+00,-2.231200e+00
-8.000000e-07,5.090400e+00,-2.233467e+00
-7.900000e-07,5.054667e+00,-2.236400e+00
-7.800000e-07,5.045067e+00,-2.240400e+00
-7.700000e-07,5.038400e+00,-2.225467e+00
-7.600000e-07,5.016800e+00,-2.242667e+00
-7.500000e-07,5.049334e+00,-2.205867e+00
-7.400000e-07,5.005867e+00,-2.214000e+00
-7.300000e-07,5.038400e+00,-2.184667e+00
-7.200000e-07,5.012533e+00,-2.171467e+00
-7.100000e-07,5.026400e+00,-2.144933e+00
-7.000000e-07,5.032000e+00,-2.112800e+00
-6.900000e-07,5.036267e+00,-2.099600e+00
-6.800000e-07,5.055733e+00,-2.044933e+00
-6.700000e-07,5.024267e+00,-2.023600e+00
-6.600000e-07,5.055733e+00,-1.984000e+00
-6.500000e-07,5.034133e+00,-1.949467e+00
-6.400000e-07,5.064533e+00,-1.906933e+00
-6.300000e-07,5.054667e+00,-1.868933e+00
-6.200000e-07,5.053600e+00,-1.818400e+00
-6.100000e-07,5.082933e+00,-1.775200e+00
-6.000000e-07,5.047200e+00,-1.727467e+00
-5.900000e-07,5.110133e+00,-1.678000e+00
-5.800000e-07,5.092534e+00,-1.632000e+00
-5.700000e-07,5.130667e+00,-1.585467e+00
-5.600000e-07,5.107733e+00,-1.536667e+00
-5.500000e-07,5.121867e+00,-1.478000e+00
-5.400000e-07,5.131733e+00,-1.420400e+00
-5.300000e-07,5.127467e+00,-1.360133e+00
-5.200000e-07,5.125067e+00,-1.302000e+00
